ID,Problem,Answer,Score
0,1,3,0
1,1,-4,0
2,1,0,0
3,1,4,0
4,1,-3,0
5,1,-4,0
6,1,-1,5
7,1,-3,0
8,1,-3,0
9,1,2,0
10,1,3,0
11,1,-5,0
12,1,0,0
13,1,0,0
14,1,-2,0
15,1,1,0
16,1,0,0
17,1,2,0
18,1,0,0
19,1,4,0
20,1,0,0
21,1,-5,0
22,1,-3,0
23,1,-3,0
24,1,-4,0
25,1,-3,0
26,1,5,0
27,1,3,0
28,1,0,0
29,1,5,0
30,1,4,0
31,1,3,0
32,1,2,0
33,1,-5,0
34,1,3,0
35,1,-1,5
36,1,-1,5
37,1,3,0
38,1,1,0
39,1,1,0
40,1,3,0
41,1,-2,0
42,1,-3,0
43,1,5,0
44,1,-5,0
45,1,5,0
46,1,1,0
47,1,3,0
48,1,-4,0
49,1,-5,0
50,1,-4,0
51,1,1,0
52,1,3,0
53,1,4,0
54,1,3,0
55,1,1,0
56,1,-3,0
57,1,-3,0
58,1,4,0
59,1,4,0
60,1,-1,5
61,1,-3,0
62,1,-2,0
63,1,-2,0
64,1,-3,0
65,1,-1,5
66,1,4,0
67,1,0,0
68,1,4,0
69,1,-3,0
70,1,3,0
71,1,4,0
72,1,-3,0
73,1,-4,0
74,1,0,0
75,1,-5,0
76,1,0,0
77,1,-3,0
78,1,5,0
79,1,-5,0
80,1,4,0
81,1,5,0
82,1,-1,5
83,1,2,0
84,1,3,0
85,1,5,0
86,1,0,0
87,1,-5,0
88,1,2,0
89,1,0,0
90,1,-2,0
91,1,-1,5
92,1,-1,5
93,1,2,0
94,1,0,0
95,1,-4,0
96,1,0,0
97,1,-4,0
98,1,-3,0
99,1,-1,5
100,1,-3,0
101,1,-4,0
102,1,1,0
103,1,-1,5
104,1,-2,0
105,1,-2,0
106,1,-1,5
107,1,-1,5
108,1,-2,0
109,1,-2,0
110,1,4,0
111,1,-3,0
112,1,3,0
113,1,3,0
114,1,3,0
115,1,-5,0
116,1,-3,0
117,1,2,0
118,1,1,0
119,1,-2,0
120,1,-1,5
121,1,4,0
122,1,1,0
123,1,5,0
124,1,-3,0
125,1,-2,0
126,1,5,0
127,1,4,0
128,1,-3,0
129,1,3,0
130,1,1,0
131,1,5,0
132,1,4,0
133,1,1,0
134,1,-3,0
135,1,5,0
136,1,-4,0
137,1,1,0
138,1,-4,0
139,1,-1,5
140,1,5,0
141,1,-4,0
142,1,0,0
143,1,4,0
144,1,0,0
145,1,-5,0
146,1,-2,0
147,1,5,0
148,1,3,0
149,1,-3,0
150,1,-1,5
151,1,3,0
152,1,-3,0
153,1,3,0
154,1,-2,0
155,1,-2,0
156,1,4,0
157,1,1,0
158,1,-5,0
159,1,-5,0
160,1,-4,0
161,1,5,0
162,1,-5,0
163,1,0,0
164,1,-5,0
165,1,-1,5
166,1,-5,0
167,1,0,0
168,1,-2,0
169,1,-5,0
170,1,-1,5
171,1,-2,0
172,1,2,0
173,1,0,0
174,1,2,0
175,1,-4,0
176,1,4,0
177,1,5,0
178,1,5,0
179,1,-1,5
180,1,-3,0
181,1,-4,0
182,1,-5,0
183,1,2,0
184,1,2,0
185,1,-3,0
186,1,5,0
187,1,-1,5
188,1,-1,5
189,1,-1,5
190,1,3,0
191,1,3,0
192,1,3,0
193,1,-4,0
194,1,3,0
195,1,0,0
196,1,0,0
197,1,-4,0
198,1,-4,0
199,1,-1,5
200,1,-5,0
201,1,-4,0
202,1,-5,0
203,1,-1,5
204,1,-4,0
205,1,-1,5
206,1,-5,0
207,1,-1,5
208,1,-3,0
209,1,2,0
210,1,2,0
211,1,3,0
212,1,3,0
213,1,-3,0
214,1,-5,0
215,1,1,0
216,1,-2,0
217,1,-5,0
218,1,-2,0
219,1,-5,0
220,1,5,0
221,1,5,0
222,1,3,0
223,1,0,0
224,1,-5,0
225,1,-1,5
226,1,-4,0
227,1,1,0
228,1,-4,0
229,1,4,0
230,1,5,0
231,1,-2,0
232,1,-5,0
233,1,1,0
234,1,4,0
235,1,4,0
236,1,5,0
237,1,5,0
238,1,3,0
239,1,2,0
240,1,5,0
241,1,-4,0
242,1,-5,0
243,1,0,0
244,1,5,0
245,1,-3,0
246,1,-3,0
247,1,2,0
248,1,4,0
249,1,1,0
250,1,4,0
251,1,5,0
252,1,3,0
253,1,-1,5
254,1,-4,0
255,1,-2,0
256,1,-1,5
257,1,-5,0
258,1,3,0
259,1,-1,5
260,1,1,0
261,1,1,0
262,1,0,0
263,1,4,0
264,1,1,0
265,1,2,0
266,1,-2,0
267,1,-5,0
268,1,-5,0
269,1,3,0
270,1,1,0
271,1,1,0
272,1,5,0
273,1,-5,0
274,1,1,0
275,1,5,0
276,1,4,0
277,1,-2,0
278,1,-4,0
279,1,-3,0
280,1,-5,0
281,1,5,0
282,1,-5,0
283,1,-3,0
284,1,5,0
285,1,3,0
286,1,3,0
287,1,0,0
288,1,5,0
289,1,3,0
290,1,3,0
291,1,2,0
292,1,-2,0
293,1,-4,0
294,1,-5,0
295,1,4,0
296,1,-1,5
297,1,-3,0
298,1,-2,0
299,1,-5,0
300,1,-2,0
301,1,1,0
302,1,5,0
303,1,-2,0
304,1,-5,0
305,1,2,0
306,1,0,0
307,1,-2,0
308,1,4,0
309,1,4,0
310,1,1,0
311,1,2,0
312,1,4,0
313,1,1,0
314,1,-4,0
315,1,-4,0
316,1,2,0
317,1,-1,5
318,1,-3,0
319,1,2,0
320,1,0,0
321,1,-4,0
322,1,-2,0
323,1,-1,5
324,1,1,0
325,1,-1,5
326,1,-5,0
327,1,2,0
328,1,-2,0
329,1,-4,0
330,1,-2,0
331,1,-3,0
332,1,-2,0
333,1,-4,0
334,1,-1,5
335,1,0,0
336,1,-1,5
337,1,-1,5
338,1,4,0
339,1,-1,5
340,1,5,0
341,1,4,0
342,1,3,0
343,1,4,0
344,1,4,0
345,1,0,0
346,1,-3,0
347,1,-1,5
348,1,-2,0
349,1,-3,0
350,1,5,0
351,1,-3,0
352,1,-2,0
353,1,5,0
354,1,0,0
355,1,1,0
356,1,-4,0
357,1,-1,5
358,1,3,0
359,1,-3,0
360,1,3,0
361,1,4,0
362,1,5,0
363,1,1,0
364,1,-4,0
365,1,-1,5
366,1,-5,0
367,1,3,0
368,1,-1,5
369,1,-4,0
370,1,1,0
371,1,-1,5
372,1,-1,5
373,1,1,0
374,1,-1,5
375,1,3,0
376,1,4,0
377,1,3,0
378,1,-4,0
379,1,-5,0
380,1,5,0
381,1,-4,0
382,1,-4,0
383,1,-2,0
384,1,-2,0
385,1,4,0
386,1,2,0
387,1,5,0
388,1,-4,0
389,1,-4,0
390,1,1,0
391,1,-5,0
392,1,-3,0
393,1,-2,0
394,1,-4,0
395,1,-4,0
396,1,-5,0
397,1,-5,0
398,1,-3,0
399,1,3,0
400,1,-2,0
401,1,-3,0
402,1,-4,0
403,1,5,0
404,1,0,0
405,1,1,0
406,1,4,0
407,1,-5,0
408,1,-4,0
409,1,2,0
410,1,0,0
411,1,-1,5
412,1,4,0
413,1,-2,0
414,1,5,0
415,1,4,0
416,1,3,0
417,1,0,0
418,1,-4,0
419,1,-1,5
420,1,-5,0
421,1,-2,0
422,1,-4,0
423,1,-3,0
424,1,2,0
425,1,-4,0
426,1,-5,0
427,1,4,0
428,1,-5,0
429,1,1,0
430,1,-4,0
431,1,3,0
432,1,1,0
433,1,2,0
434,1,-2,0
435,1,5,0
436,1,2,0
437,1,-3,0
438,1,-4,0
439,1,-3,0
440,1,2,0
441,1,5,0
442,1,1,0
443,1,-3,0
444,1,5,0
445,1,3,0
446,1,2,0
447,1,4,0
448,1,-4,0
449,1,-3,0
450,1,-4,0
451,1,-2,0
452,1,-5,0
453,1,-4,0
454,1,1,0
455,1,-2,0
456,1,-3,0
457,1,5,0
458,1,4,0
459,1,-1,5
460,1,3,0
461,1,1,0
462,1,3,0
463,1,5,0
464,1,3,0
465,1,-4,0
466,1,-5,0
467,1,0,0
468,1,-1,5
469,1,4,0
470,1,5,0
471,1,1,0
472,1,0,0
473,1,-4,0
474,1,3,0
475,1,1,0
476,1,0,0
477,1,5,0
478,1,-1,5
479,1,-1,5
480,1,5,0
481,1,-3,0
482,1,-3,0
483,1,-5,0
484,1,-4,0
485,1,0,0
486,1,-5,0
487,1,-3,0
488,1,3,0
489,1,1,0
490,1,-3,0
491,1,-1,5
492,1,1,0
493,1,1,0
494,1,1,0
495,1,0,0
496,1,-2,0
497,1,-5,0
498,1,4,0
499,1,1,0
500,2,['i^{16}=1'],1
501,2,"['-1', 'i^{16}=1', 'i^{26}=-1', 'i^6=-1']",5
502,2,['-1'],5
503,2,"['i^{16}=1', 'i^{26}=-1']",2
504,2,"['i^6=-1', 'i^{26}=-1']",2
505,2,"['-1', 'i^{26}=-1']",5
506,2,['i^6=-1'],1
507,2,"['i^{26}=-1', 'i^{16}=1', '-1']",5
508,2,"['-1', 'i^{26}=-1', 'i^6=-1']",5
509,2,['i^{16}=1'],1
510,2,"['i^{16}=1', '-1', 'i^6=-1']",5
511,2,"['i^{26}=-1', 'i^6=-1', 'i^{16}=1', '-1']",5
512,2,['i^{26}=-1'],1
513,2,"['i^6=-1', 'i^{26}=-1', 'i^{16}=1']",3
514,2,['i^{26}=-1'],1
515,2,"['i^6=-1', '-1', 'i^{16}=1', 'i^{26}=-1']",5
516,2,['i^{16}=1'],1
517,2,['-1'],5
518,2,"['i^{26}=-1', '-1']",5
519,2,['i^{16}=1'],1
520,2,"['i^6=-1', 'i^{26}=-1', '-1', 'i^{16}=1']",5
521,2,['-1'],5
522,2,"['i^6=-1', 'i^{26}=-1', '-1']",5
523,2,"['i^6=-1', 'i^{26}=-1', '-1']",5
524,2,"['i^{16}=1', '-1']",5
525,2,"['i^6=-1', 'i^{26}=-1']",2
526,2,"['i^{26}=-1', 'i^6=-1']",2
527,2,"['i^6=-1', 'i^{26}=-1', 'i^{16}=1']",3
528,2,['i^6=-1'],1
529,2,"['i^6=-1', 'i^{26}=-1', 'i^{16}=1']",3
530,2,"['i^{16}=1', 'i^6=-1', '-1']",5
531,2,"['i^{26}=-1', 'i^{16}=1', 'i^6=-1']",3
532,2,"['i^6=-1', 'i^{16}=1']",2
533,2,"['i^6=-1', 'i^{16}=1', 'i^{26}=-1', '-1']",5
534,2,"['i^6=-1', '-1', 'i^{26}=-1']",5
535,2,"['i^{26}=-1', 'i^6=-1', 'i^{16}=1', '-1']",5
536,2,"['i^6=-1', 'i^{26}=-1']",2
537,2,['i^6=-1'],1
538,2,"['i^{16}=1', 'i^{26}=-1', 'i^6=-1']",3
539,2,"['-1', 'i^{26}=-1', 'i^6=-1']",5
540,2,"['i^{26}=-1', 'i^{16}=1', 'i^6=-1']",3
541,2,"['-1', 'i^{26}=-1', 'i^6=-1', 'i^{16}=1']",5
542,2,"['i^{16}=1', 'i^6=-1', '-1', 'i^{26}=-1']",5
543,2,"['i^6=-1', '-1']",5
544,2,"['-1', 'i^{16}=1']",5
545,2,"['-1', 'i^{16}=1']",5
546,2,"['i^{16}=1', 'i^{26}=-1']",2
547,2,"['i^6=-1', 'i^{26}=-1']",2
548,2,"['-1', 'i^{16}=1', 'i^{26}=-1', 'i^6=-1']",5
549,2,['-1'],5
550,2,"['-1', 'i^{16}=1', 'i^6=-1', 'i^{26}=-1']",5
551,2,"['i^{26}=-1', 'i^{16}=1', '-1']",5
552,2,"['i^6=-1', 'i^{16}=1']",2
553,2,"['i^{26}=-1', 'i^{16}=1', '-1']",5
554,2,"['-1', 'i^6=-1', 'i^{26}=-1', 'i^{16}=1']",5
555,2,"['i^{26}=-1', 'i^{16}=1']",2
556,2,"['i^{16}=1', '-1', 'i^6=-1', 'i^{26}=-1']",5
557,2,"['-1', 'i^{26}=-1', 'i^6=-1', 'i^{16}=1']",5
558,2,"['i^{26}=-1', '-1', 'i^{16}=1']",5
559,2,"['i^{26}=-1', 'i^6=-1', 'i^{16}=1', '-1']",5
560,2,"['i^6=-1', 'i^{16}=1']",2
561,2,"['i^{16}=1', 'i^{26}=-1', 'i^6=-1', '-1']",5
562,2,"['i^6=-1', 'i^{16}=1', '-1']",5
563,2,"['i^6=-1', '-1']",5
564,2,"['-1', 'i^6=-1', 'i^{26}=-1']",5
565,2,"['-1', 'i^{26}=-1', 'i^6=-1']",5
566,2,"['i^6=-1', '-1', 'i^{26}=-1']",5
567,2,['i^{26}=-1'],1
568,2,"['i^{16}=1', 'i^6=-1', '-1', 'i^{26}=-1']",5
569,2,['i^{26}=-1'],1
570,2,"['i^{16}=1', 'i^6=-1', '-1']",5
571,2,"['i^{16}=1', 'i^6=-1']",2
572,2,"['i^{16}=1', 'i^{26}=-1', 'i^6=-1', '-1']",5
573,2,"['i^6=-1', 'i^{26}=-1', 'i^{16}=1', '-1']",5
574,2,"['-1', 'i^6=-1', 'i^{26}=-1', 'i^{16}=1']",5
575,2,"['i^{16}=1', 'i^6=-1']",2
576,2,"['-1', 'i^6=-1']",5
577,2,"['-1', 'i^6=-1', 'i^{26}=-1']",5
578,2,['i^{26}=-1'],1
579,2,"['i^6=-1', 'i^{26}=-1']",2
580,2,"['-1', 'i^{26}=-1', 'i^{16}=1', 'i^6=-1']",5
581,2,"['i^{26}=-1', 'i^6=-1', 'i^{16}=1']",3
582,2,['i^{16}=1'],1
583,2,"['-1', 'i^{26}=-1']",5
584,2,['i^{26}=-1'],1
585,2,"['i^{16}=1', 'i^6=-1']",2
586,2,"['-1', 'i^6=-1', 'i^{16}=1']",5
587,2,"['i^{26}=-1', 'i^6=-1', '-1', 'i^{16}=1']",5
588,2,"['i^{16}=1', '-1']",5
589,2,"['-1', 'i^6=-1']",5
590,2,"['i^6=-1', 'i^{26}=-1']",2
591,2,['i^{16}=1'],1
592,2,"['i^6=-1', '-1', 'i^{26}=-1']",5
593,2,"['-1', 'i^6=-1', 'i^{26}=-1']",5
594,2,['i^6=-1'],1
595,2,"['i^{16}=1', 'i^{26}=-1']",2
596,2,"['i^6=-1', '-1', 'i^{26}=-1']",5
597,2,"['i^{16}=1', '-1', 'i^{26}=-1']",5
598,2,"['i^6=-1', '-1', 'i^{16}=1', 'i^{26}=-1']",5
599,2,"['i^{26}=-1', '-1', 'i^{16}=1']",5
600,2,"['i^{16}=1', 'i^6=-1', 'i^{26}=-1']",3
601,2,"['-1', 'i^{16}=1']",5
602,2,"['-1', 'i^{26}=-1', 'i^{16}=1', 'i^6=-1']",5
603,2,"['-1', 'i^{16}=1', 'i^{26}=-1', 'i^6=-1']",5
604,2,"['i^6=-1', '-1']",5
605,2,['-1'],5
606,2,"['i^6=-1', 'i^{26}=-1']",2
607,2,['i^{26}=-1'],1
608,2,"['-1', 'i^{16}=1', 'i^{26}=-1']",5
609,2,"['i^{16}=1', 'i^6=-1', '-1']",5
610,2,['i^{16}=1'],1
611,2,"['-1', 'i^{26}=-1', 'i^6=-1', 'i^{16}=1']",5
612,2,"['i^6=-1', '-1', 'i^{26}=-1', 'i^{16}=1']",5
613,2,"['i^{16}=1', 'i^{26}=-1', '-1']",5
614,2,['i^{16}=1'],1
615,2,"['i^{16}=1', '-1']",5
616,2,"['i^{26}=-1', 'i^6=-1', 'i^{16}=1', '-1']",5
617,2,"['i^{16}=1', 'i^6=-1', '-1', 'i^{26}=-1']",5
618,2,"['-1', 'i^6=-1', 'i^{16}=1']",5
619,2,"['i^{26}=-1', 'i^{16}=1']",2
620,2,"['i^{16}=1', 'i^6=-1']",2
621,2,['-1'],5
622,2,['i^{16}=1'],1
623,2,"['i^6=-1', 'i^{16}=1', 'i^{26}=-1', '-1']",5
624,2,"['i^{16}=1', 'i^{26}=-1', '-1']",5
625,2,"['-1', 'i^6=-1', 'i^{16}=1']",5
626,2,"['-1', 'i^{16}=1', 'i^6=-1', 'i^{26}=-1']",5
627,2,['i^{26}=-1'],1
628,2,"['i^6=-1', 'i^{26}=-1', 'i^{16}=1']",3
629,2,['i^{26}=-1'],1
630,2,['i^{16}=1'],1
631,2,"['i^6=-1', 'i^{26}=-1', 'i^{16}=1', '-1']",5
632,2,['i^{26}=-1'],1
633,2,"['i^6=-1', '-1', 'i^{26}=-1', 'i^{16}=1']",5
634,2,"['i^{26}=-1', 'i^6=-1', 'i^{16}=1', '-1']",5
635,2,['i^6=-1'],1
636,2,"['i^{26}=-1', 'i^6=-1', 'i^{16}=1']",3
637,2,"['i^{16}=1', 'i^{26}=-1']",2
638,2,"['i^{26}=-1', 'i^6=-1', 'i^{16}=1']",3
639,2,['-1'],5
640,2,"['i^{16}=1', '-1', 'i^{26}=-1']",5
641,2,"['i^6=-1', 'i^{16}=1']",2
642,2,"['i^{26}=-1', 'i^6=-1', 'i^{16}=1']",3
643,2,"['i^6=-1', '-1', 'i^{16}=1']",5
644,2,"['i^6=-1', 'i^{26}=-1', '-1']",5
645,2,"['-1', 'i^{16}=1', 'i^6=-1', 'i^{26}=-1']",5
646,2,"['i^6=-1', 'i^{16}=1']",2
647,2,"['i^{26}=-1', '-1', 'i^{16}=1', 'i^6=-1']",5
648,2,"['i^{26}=-1', '-1', 'i^{16}=1', 'i^6=-1']",5
649,2,"['-1', 'i^{16}=1', 'i^{26}=-1', 'i^6=-1']",5
650,2,['-1'],5
651,2,"['i^{26}=-1', 'i^6=-1']",2
652,2,"['-1', 'i^6=-1', 'i^{26}=-1']",5
653,2,"['-1', 'i^{26}=-1', 'i^{16}=1', 'i^6=-1']",5
654,2,"['i^{26}=-1', '-1', 'i^6=-1', 'i^{16}=1']",5
655,2,['i^6=-1'],1
656,2,"['-1', 'i^{16}=1', 'i^6=-1', 'i^{26}=-1']",5
657,2,"['i^6=-1', '-1', 'i^{26}=-1']",5
658,2,"['i^6=-1', 'i^{16}=1', '-1', 'i^{26}=-1']",5
659,2,"['i^{26}=-1', 'i^6=-1']",2
660,2,"['i^{26}=-1', 'i^6=-1', '-1']",5
661,2,['i^{26}=-1'],1
662,2,"['i^{16}=1', '-1', 'i^{26}=-1']",5
663,2,"['i^{26}=-1', 'i^{16}=1', '-1', 'i^6=-1']",5
664,2,"['i^{16}=1', 'i^6=-1', '-1', 'i^{26}=-1']",5
665,2,"['-1', 'i^6=-1']",5
666,2,"['i^6=-1', '-1', 'i^{26}=-1', 'i^{16}=1']",5
667,2,['i^6=-1'],1
668,2,"['i^{16}=1', 'i^6=-1', 'i^{26}=-1', '-1']",5
669,2,"['-1', 'i^{16}=1']",5
670,2,"['i^{26}=-1', 'i^{16}=1', 'i^6=-1']",3
671,2,['i^{16}=1'],1
672,2,"['-1', 'i^{16}=1', 'i^{26}=-1']",5
673,2,"['i^{26}=-1', 'i^6=-1', 'i^{16}=1']",3
674,2,"['-1', 'i^6=-1', 'i^{26}=-1']",5
675,2,"['i^6=-1', 'i^{16}=1', 'i^{26}=-1', '-1']",5
676,2,"['-1', 'i^6=-1', 'i^{16}=1', 'i^{26}=-1']",5
